JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451548.236,3.1,,,Vis.,TLA,,,,SPA,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2451549.2069,2.2,,,Vis.,MKW,A,,,,,,,V,,,,BET PER,,STD,,,,
2451549.6,2.1,,,Vis.,LNZ,A,,,,,,,V,,,,BET PER,,STD,,,,
2451555.2958,2.1,,,Vis.,KGG,,,,,,,,V,,,,BET PER,,STD,,,,
2451555.3965,2.3,,,Vis.,MKW,A,,,,,,,V,,,,BET PER,,STD,,,,
2451556.3069,2.1,,,Vis.,KGG,,,,,,,,V,,,,BET PER,,STD,,,,
2451557.2097,2.1,,,Vis.,NGZ,,,,,,,,V,,,,BET PER,,STD,,,,
2451557.2264,2.1,,,Vis.,KGG,,,,,,,,V,,,,BET PER,,STD,,,,
2451557.2340,2.1,,,Vis.,SIV,,,,,,,,V,,,,BET PER,,STD,,,,
2451557.3799,2.4,,,Vis.,MKW,A,,,,,,,V,,,,BET PER,,STD,,,,
2451559.4410,2.3,,,Vis.,MKW,AM,,,,,,,V,,,,BET PER,,STD,,,,
2451563.5,2.1,,,Vis.,LNZ,A,,,,,,,V,,,,BET PER,,STD,,,,
2451565.312,2.6,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.322,2.7,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.333,2.8,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.34,2.9,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.344,2.9,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.355,3.0,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.36,3.1,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.365,3.2,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.37,3.2,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.375,3.3,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.381,3.3,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.39,3.4,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
2451565.397,3.4,,,Vis.,FSE,,NA,,NA,,,,V,,,,BETA PER,,STD,,,,
